Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Afghanistan,AFG,2013,12.9,21.5086472,19.5,23.54970156,2090.0,34499915.0,559159.736902,3527350.6933699995,302079.587646,282475.205009,1919799.53463,205793.58459,221179.138408,615582.241007,2071797.8850599998,345323.934948,129282.005115,170308.104324,368447.57101799996,640738.0685630001,847821.5932100001,380193.163336,1557879.2538299998,838282.394294,12059.2734182,718251.148272,103157.339525,328380.48191,852112.5869529999,18.1
Albania,ALB,2013,57.5,26.464979200000002,45.1,25.69953261,3193.0,3238316.0,410.170590465,20502.6309348,298.926857293,337.120430626,22978.1844407,6725.11683256,1949.42615431,100486.679159,212530.107887,17222.0161571,7695.77176975,8039.90004437,48351.2711545,51934.3125768,34162.3509862,68703.381981,78698.3618003,19373.048968,71.3369182625,632.094734412,8639.02528064,4715.48918276,43461.4445132,56.5
Algeria,DZA,2013,50.7,24.2180873,60.8,25.93875133,3296.0,36983924.0,37405.6650213,382019.477732,19274.4978592,41499.139835,947886.991757,177939.75653699998,56410.3347796,509098.886614,1286089.96141,243208.12645399998,92364.68738239999,92250.67168150001,597234.647877,855215.238477,737241.350368,774597.3412220001,1390775.88267,522425.71825,856.790840568,16455.2390889,67670.415373,36306.096653500004,403353.771503,57.2
Angola,AGO,2013,18.0,22.69689625,33.8,23.98241684,2473.0,20714494.0,1166418.82295,2921074.84571,792502.784791,134816.271854,1542468.01399,701672.036968,438734.44532,337446.023233,556951.615081,171024.273292,138995.536491,156496.40191400002,208667.689247,398281.731406,295289.235477,226669.772204,802884.2185310001,398592.39718800003,55.1532565766,14276.062397299998,49883.151557599995,73200.292711,613533.437525,22.1
Antigua and Barbuda,ATG,2013,52.3,27.08053839,65.2,29.02906732,2417.0,91404.0,403.068176292,895.7313575810001,70.4573102358,32.2285073337,733.6957154339999,531.319608725,91.2095101812,2205.51098702,3064.5424070999998,484.79291017800006,325.569176176,286.118718291,1312.11151466,1969.93205418,2441.53163178,1569.29815146,2122.47196894,453.949044966,0.0,0.09628412969519999,96.3518722435,280.707147147,1196.32936279,46.4
Argentina,ARG,2013,66.0,27.4889604,59.2,27.14817972,3229.0,41473982.0,110158.00942999999,586929.644356,31801.1040417,24928.420434599997,403589.548342,83600.1499354,27348.0781676,1504734.75854,1800495.7733200002,425030.45305,183800.396002,150818.665791,598505.77965,1033363.84736,732334.340873,1098302.22688,1120458.89794,367036.69707,3090.08276906,1030.07738864,225397.54963000002,152474.890747,518364.355009,61.6
Armenia,ARM,2013,53.9,25.77919859,52.7,27.32795045,2928.0,3117722.0,4841.12837651,27550.394011,437.97004105,625.652163141,24827.6088019,8117.37397881,2194.09378659,123161.31748099999,219178.08471700002,25023.190599,21542.9016412,15806.7271815,43685.714128600004,56898.1374418,68663.967229,60839.1533757,86465.4301121,17199.293340400003,3697.26534561,412.477080935,9963.31044885,6784.73620037,45159.8067942,53.3
Australia,AUS,2013,69.0,27.45331026,57.0,26.72235109,3276.0,23213944.0,6895.64131633,81338.47919279999,614.789163276,1971.406653,73977.66777939998,11782.6927832,11830.295964899999,842474.699764,646274.869425,248908.59545700002,51184.0006896,54891.15248609999,423508.18994099996,739456.958934,271856.938225,685901.4423550001,522994.22989200003,118732.267406,41.1937317517,0.0,115182.41543699999,22096.2390949,200934.260263,65.5
Austria,AUT,2013,62.0,26.55039555,46.8,24.47608529,3768.0,8441263.0,4970.81879706,27152.821220599995,57.7238865795,378.199074991,22652.6660778,6478.13395816,2790.53335492,376465.972405,411749.067609,76452.46193060001,47018.171809,27315.989500599997,196822.29933699997,223759.240921,145286.552097,230392.47439899997,217933.263876,40522.5691653,876.116704595,0.0,48770.234088,5738.68380371,107984.63211199999,56.6
Azerbaijan,AZE,2013,54.1,26.25459633,56.5,27.82462938,3118.0,9533445.0,34166.4792535,289212.353166,1913.62387278,3249.6196933,243790.722107,46271.87670859999,15250.169141999999,273410.214676,724602.239224,67631.9047632,87510.8772347,30579.898331200002,133727.599524,207072.942876,178091.83739200002,161390.769322,262057.65185300002,51698.7824262,42.8197625852,2880.64808562,19919.8848303,24455.5042625,168651.99009200002,50.6
